,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
576,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,PA ,200717.0,2011-08-26 00:30:00,2011-08-28 00:30:00
577,FirstEnergy Corp: Cleveland Electric Illuminating Company,"Cleveland area, Ohio",OH OH ,107833.0,2011-08-25 00:30:00,2011-08-28 20:00:00
578,Central Maine Power Company,Maine,ME ,0.0,2011-08-25 00:01:00,2011-08-25 00:01:00
579,American Electric Power (AEP),"Arkansas, Louisiana, Texas",AR LA TX ,53064.0,2011-08-24 14:51:00,2011-08-24 22:00:00
580,ERCOT ISO,Texas,TX ,0.0,2011-08-24 13:20:00,2011-08-29 19:00:00
581,CenterPoint Energy,"Houston area, Texas",TX TX ,79000.0,2011-08-24 07:45:00,2011-08-25 06:00:00
582,ERCOT ISO,Texas,TX ,0.0,2011-08-23 15:43:00,2011-08-23 19:00:00
583,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",NM TX ,0.0,2011-08-23 10:30:00,2011-08-23 16:54:00
584,Dominion Virginia Power,Virginia,VA ,0.0,2011-08-23 13:51:00,2011-08-23 13:51:00
585,City of Tacoma (TPWR),"Collins Substation, Washington",WA ,,2011-08-22 10:05:00,2011-08-22 16:00:00
586,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR PR ,931000.0,2011-08-21 22:45:00,2011-08-23 22:45:00
587,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,MI MI ,65000.0,2011-08-20 17:42:00,2011-08-23 20:00:00
588,City of Tacoma (TPWR),"Collins Substation, Washington",WA ,,2011-08-18 09:51:00,2011-08-18 16:00:00
589,PacifiCorp,Utah,UT ,0.0,2011-08-15 02:05:00,2011-08-15 03:40:00
590,LG&E and KU Energy LLC,Kentucky,KY ,181700.0,2011-08-13 16:41:00,2011-08-14 19:00:00
591,City of Tacoma (TPWR),"Polk Substation, Tacoma, Washington",WA ,,2011-08-09 10:26:00,2011-08-09 17:00:00
592,Oklahoma Gas & Electric,Northern and Central Oklahoma,OK ,54000.0,2011-08-08 20:58:00,2011-08-10 16:30:00
593,City of Tacoma (TPWR),"Collins Substation, Washington",WA ,,2011-08-08 09:35:00,2011-08-08 16:00:00
594,Oklahoma Municipal Power Authority,Oklahoma,OK ,14500.0,2011-08-08 19:36:00,2011-08-09 12:00:00
595,Dayton Power & Light,"Greene County, Ohio",OH ,0.0,2011-08-08 09:30:00,2011-08-08 09:30:00
596,American Electric Power (AEP),"Arkansas, Oklahoma, Texas",AR OK TX ,,2011-08-04 10:30:00,2011-08-04 16:00:00
597,Grand River Dam Authority,Northeast Oklahoma,OK ,,2011-08-03 16:29:00,2011-08-03 23:40:00
598,Entergy,Central Arkansas,AR ,0.0,2011-08-03 16:30:00,2011-08-03 21:00:00
599,AES Somerset LLC,Western New York,NY ,,2011-08-03 10:00:00,2011-08-19 10:00:00
600,Exelon Corporation/ComEd,"Northeast, Illinois",IL ,71500.0,2011-08-02 21:30:00,2011-08-03 19:00:00
601,Oklahoma Gas & Electric,Oklahoma,OK ,,2011-08-02 10:15:00,2011-08-03 09:16:00
602,ERCOT ISO,Texas,TX ,0.0,2011-08-01 15:00:00,2011-08-05 19:00:00
603,PacificCorp,"Jefferson, Oregon",OR ,,2011-08-01 14:18:00,2011-08-01 14:18:00
