,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
748,"Entergy Services, Incorporated","The Woodlands, Texas",TX ,,2011-03-15 18:00:00,2011-03-15 19:14:00
749,Baltimore Gas & Electric,"Baltimore, Maryland",MD ,,2011-03-14 07:30:00,2011-03-14 16:55:00
750,PacifiCorp,Oregon,OR ,9000.0,2011-03-13 14:20:00,2011-03-14 15:46:00
751,Pacific Gas and Electric,"Humboldt and Eureka, California",CA ,6800.0,2011-03-11 07:02:00,2011-03-11 09:15:00
752,ERCOT ISO,Texas,TX ,,2011-03-10 12:03:00,2011-03-11 06:00:00
753,AES Somerset,Western New York,NY ,,2011-03-08 08:00:00,2001-03-18 09:00:00
754,PacifiCorp,"Salt Lake City Region, Utah",UT ,0.0,2011-03-06 02:54:00,2011-03-08 08:00:00
755,AES Somerset,Western New York,NY ,,2011-03-01 08:00:00,2011-03-05 09:30:00
756,Baltimore Gas & Electric,Maryland,MD ,93000.0,2011-02-25 15:23:00,2011-02-27 18:00:00
757,Dominion - Virginia Power,Virginia,VA ,50000.0,2011-02-25 15:20:00,2011-02-25 18:00:00
758,Pacific Gas and Electric,Northern and Central California,CA ,80000.0,2011-02-25 08:00:00,2011-02-28 17:30:00
759,PacifiCorp,"Salt Lake City, Utah",UT ,0.0,2011-02-25 10:30:00,2011-02-25 10:45:00
760,American Electric Power (CSWS-SPP),Arkansas,AR ,,2011-02-24 16:51:00,2011-02-24 16:54:00
761,Consumers Energy,"Southern Lower Peninsula, Michigan",MI ,160000.0,2011-02-20 16:00:00,2011-02-23 16:00:00
762,Delmarva Power & Light Company,"Harrington, Delaware",DE ,0.0,2011-02-19 16:34:00,2011-02-19 16:34:00
763,Exelon Corporation/PECO,"Philadelphia area, Pennsylvania",PA ,118000.0,2011-02-19 12:30:00,2011-02-20 04:00:00
764,City of Roseville (Roseville Electric),"Roseville, California",CA ,0.0,2011-02-17 13:00:00,2011-02-23 16:53:00
765,Pacific Gas and Electric,Northern and Central California,CA ,80000.0,2011-02-17 01:25:00,2011-02-19 10:13:00
766,Tacoma Power - TPWR,"LaGrande, Washington",WA ,0.0,2011-02-10 13:00:00,2011-02-10 13:00:00
767,Tacoma Power - TPWR,"University Place, Washington",WA ,0.0,2011-02-09 14:54:00,2011-02-09 17:00:00
768,ERCOT ISO,Texas,TX ,,2011-02-09 16:30:00,2011-02-10 12:33:00
769,CenterPoint Energy,"Western Houston, Texas",TX TX ,60000.0,2011-02-09 03:45:00,2011-02-09 09:12:00
770,Potomac Electric Power Co/PEPCO Holdings Inc.,"Bowie, Maryland",MD ,0.0,2011-02-03 14:30:00,2011-02-03 14:30:00
771,ERCOT ISO,Texas,TX ,86013.0,2011-02-03 22:04:00,2011-02-04 12:32:00
772,San Diego Gas and Electric Company,"San Diego area, California",CA CA ,,2011-02-03 15:00:00,2011-02-04 12:00:00
773,Exelon Corporation/PECO,"Philadelphia area, Pennsylvania",PA ,213000.0,2011-02-02 03:00:00,2011-02-04 23:59:00
774,El Paso Electric Company,"Dona Ana and El Paso Counties, Texas and Hudspeth County, New Mexico",NM TX ,178000.0,2011-02-02 07:24:00,2011-02-02 22:23:00
775,Southwestern Public Service,"Texas Panhandle, Southeastern New Mexico",NM TX ,,2011-02-02 17:00:00,2011-02-03 22:00:00
776,ERCOT ISO,Texas,TX ,1069730.0,2011-02-02 05:43:00,2011-02-03 10:00:00
777,Salt River Project,Central Arizona,AZ ,69000.0,2011-02-02 06:22:00,2011-02-02 09:57:00
778,Exelon Corp/ComEd - Commonwealth Edison,Northern Illinois,IL ,190000.0,2011-02-01 21:00:00,2011-02-02 14:00:00
779,American Electric Power - Ohio,"Indiana, Ohio",IN OH ,158013.0,2011-02-01 15:00:00,2011-02-03 12:00:00
780,Duke Energy Midwest,Southwestern Ohio and Indiana,IN OH ,272880.0,2011-01-31 22:00:00,2011-02-03 12:00:00
781,Delmarva Power & Light Company,"Hockessin, Delaware",DE ,0.0,2011-01-27 09:30:00,2011-01-27 09:30:00
782,"AES Greenidge, LLC",Central New York,NY ,,2011-01-27 17:00:00,2011-01-30 05:00:00
783,Dominion - Virginia Power,Northern Virginia,VA ,150084.0,2011-01-26 19:43:00,2011-01-27 18:18:00
784,Baltimore Gas and Electric Company,Maryland,MD ,234326.0,2011-01-26 18:28:00,2011-01-29 17:00:00
785,NV Energy,"Carson City, Nevada",NV ,0.0,2011-01-26 09:25:00,2011-01-27 17:00:00
786,ITC Transmission,Michigan,MI ,0.0,2011-01-26 09:33:00,2011-01-27 15:03:00
787,Potomac Electric Power Co/ PEPCO Holdings Inc.,"Montgomery and Prince George's County, Maryland and District of Columbia",MD ,210000.0,2011-01-26 17:00:00,2011-01-31 08:00:00
788,Atlantic City Electric,"Newark, Delaware",DE ,0.0,2011-01-25 03:23:00,2011-01-25 11:00:00
789,El Paso Electric Company,"Newman Power Plant, Texas",TX ,0.0,2011-01-24 13:20:00,2011-01-24 13:30:00
790,PacifiCorp,"Franklin County, Idaho",ID ,0.0,2011-01-23 07:00:00,2011-01-23 13:00:00
791,National Grid,"Whitman, Auburn St Substation, Massachusetts",MA ,0.0,2011-01-18 14:00:00,2011-01-18 14:00:00
792,JEA,North Florida,FL ,20900.0,2011-01-13 07:21:00,2011-01-13 08:13:00
793,National Grid,Massachusetts,MA ,80000.0,2011-01-12 06:00:00,2011-01-12 14:00:00
794,New Athens Generating Co. LLC,"Athens, New York",NY ,0.0,2011-01-11 23:08:00,2011-01-11 23:08:00
795,AES Cayuga,New York,NY ,,2010-12-30 14:00:00,2010-01-12 06:00:00
796,Progress Energy Carolinas,Carolina,,42000.0,2010-12-26 08:15:00,2010-12-26 16:15:00
797,Puget Sound Energy,"Redmond, Washington",WA WA ,92090.0,2010-12-18 05:00:00,2010-12-19 22:00:00
798,California Department of Water Resources,Southern California,CA CA ,,2010-12-14 07:36:00,2010-12-15 09:00:00
799,Pacific Gas and Electric,California,CA ,6635.0,2010-12-14 07:20:00,2010-12-14 07:25:00
800,Detroit Edison,Southeastern Michigan,MI MI ,60175.0,2010-12-12 16:30:00,2010-12-15 14:00:00
801,Pacific Gas and Electric,California,CA ,7077.0,2010-12-03 21:32:00,2010-12-04 02:00:00
802,Pacific Gas and Electric,Northern California,CA ,7077.0,2010-11-23 14:01:00,2010-11-23 18:12:00
803,Puget Sound Energy,"Puget Sound Region, Washington",WA WA ,123535.0,2010-11-22 23:00:00,2010-11-24 20:00:00
804,Pacific Gas and Electric,Northern and Central California,CA ,60000.0,2010-11-21 01:39:00,2010-11-24 16:46:00
805,Puget Sound Energy,Puget Sound Region,WA ,149256.0,2010-11-15 23:00:00,2010-11-16 02:14:00
806,Xcel Energy/Northern States Power Company,Minnesota,MN ,60000.0,2010-11-13 15:00:00,2010-11-14 22:00:00
807,ISO New England,Maine,ME ,60863.0,2010-11-08 06:47:00,2010-11-08 18:00:00
808,Pacific Gas and Electric,Northern California,CA ,4.0,2010-11-06 15:53:00,2010-11-06 18:08:00
809,PacifiCorp,"Rock Springs, Wyoming",WY ,,2010-11-04 09:46:00,2010-11-04 10:47:00
810,California Department of Water Resources,"Bakersfield, California",CA CA CA ,,2010-10-31 22:26:00,2010-11-01 01:45:00
811,Pacific Gas and Electric,Northern California,CA ,2674.0,2010-10-27 17:16:00,2010-10-27 17:27:00
812,Wisconsin Public Service Corporation,Northeast and North Central Wisconsin,WI ,63000.0,2010-10-27 04:00:00,2010-10-27 12:00:00
813,Consumers Energy,Michigan's Northerly Lower Peninsula,MI ,285000.0,2010-10-27 08:00:00,2010-10-29 07:00:00
814,Commonwealth Edison,Northern Illinois,IL ,127000.0,2010-10-27 17:00:00,2010-10-29 04:00:00
815,Xcel Energy/Northern States Power Company,Minnesota,MN ,70000.0,2010-10-26 20:00:00,2010-10-28 22:00:00
816,Commonwealth Edison,Northern Illinois,IL ,192106.0,2010-10-26 09:00:00,2010-10-28 11:00:00
817,Los Angeles Department of Water and Power,"City of Los Angeles, California",CA CA ,73514.0,2010-10-05 05:45:00,2010-10-07 06:00:00
818,Southern California Edison Company,Central and Southern California,CA CA ,,2010-09-27 15:15:00,2010-09-27 18:12:00
819,Allegheny Power,Western Pennsylvania,PA ,82861.0,2010-09-22 17:38:00,2010-09-24 23:30:00
820,California Department of Water Resources,"Bakersfield, California",CA CA CA ,,2010-09-22 06:12:00,2010-09-22 23:00:00
821,Duquesne Light Company,"City of Pittsburgh, Pennsylvania",PA ,52000.0,2010-09-22 16:08:00,2010-09-26 00:00:00
822,Consumers Energy,Central and Southern Michigan,MI ,138000.0,2010-09-21 21:31:00,2010-09-22 14:30:00
823,Birchwood Power Facility,"King George County, Virginia",VA ,,2010-09-20 17:00:00,2010-09-20 17:30:00
824,CPS Energy,"San Antonio, Texas",TX ,340350.0,2010-09-07 14:02:00,2010-09-08 01:27:00
825,Pacific Gas and Electric,"Pittsburg (Bay Area), California",CA ,15000.0,2010-09-01 10:20:00,2010-09-01 12:44:00
826,CenterPoint Energy,"Houston, Texas",TX TX ,81586.0,2010-08-23 17:50:00,2010-08-24 09:30:00
827,Detroit Edison,Southeastern Michigan,MI MI ,80000.0,2010-08-19 18:00:00,2010-08-23 15:30:00
828,Wisconsin Public Service,"City of Oshkosh, Wisconsin",WI ,7600.0,2010-08-12 15:42:00,2010-08-12 22:10:00
829,Potomac Electric Power Co.,"District of Columbia, Maryland",MD ,101003.0,2010-08-12 06:45:00,2010-08-12 21:00:00
830,Nebraska Public Power District,Central Nebraska,NE ,,2010-08-12 08:21:00,2010-08-12 11:00:00
831,American Electric Power,Ohio,OH ,57000.0,2010-08-11 15:21:00,2010-08-11 12:12:00
832,AES Greenidge and Cayuga0RFC),Upstate New York,NY ,,2010-08-09 12:00:00,2010-08-16 12:00:00
833,Potomac Electric Power Co,"District of Columbia, Maryland",MD ,76729.0,2010-08-05 15:30:00,2010-08-05 22:00:00
834,Dominion - Virginia Power,Northern Virginia,VA ,145157.0,2010-08-05 15:54:00,2010-08-08 00:00:00
835,Southwestern Public Service Company,"Northern Texas, Eastern New Mexico",NM TX ,,2010-08-04 12:00:00,2010-08-04 22:00:00
836,American Electric Power,"Ohio, West Virginia, Kentucky",PA WV ,37000.0,2010-08-04 17:00:00,2010-08-06 04:00:00
837,Allegheny Power,"Western Pennsylvania, Northwestern and Central West Virginia",PA VA WV ,11186.0,2010-08-04 16:45:00,2010-08-07 00:00:00
838,California Department of Waters Resources,Central California,CA CA ,,2010-08-02 12:00:00,2010-08-02 23:00:00
839,Cleco Power LLC,Southern Louisiana,LA ,,2010-08-02 12:45:00,2010-08-04 11:00:00
840,Entergy,Southern Louisiana,LA ,,2010-08-02 12:45:00,2010-08-04 11:00:00
841,Southwest Louisiana Electric Membership Corporation,Southwestern Louisiana,LA ,,2010-08-02 12:45:00,2010-08-04 11:00:00
842,Lafayette Utilities Systems,Southern Louisiana,LA ,,2010-08-02 12:45:00,2010-08-04 11:00:00
843,Dominion - Virginia Power,Virginia,VA ,55000.0,2010-07-29 17:43:00,2010-07-29 20:07:00
844,Southern California Edison Company,Southern California,CA CA ,,2010-07-29 18:39:00,2010-07-29 19:26:00
845,California Independent System Operator,Southern California,CA CA ,,2010-07-29 18:39:00,2010-07-29 19:26:00
846,Potomac Electric Power Co,"Washington, DC Region",WA ,297700.0,2010-07-25 15:10:00,2010-07-30 23:30:00
847,Dominion - Virginia Power,Northern Virginia,VA ,81000.0,2010-07-25 16:11:00,2010-07-25 20:06:00
848,Baltimore Gas and Electric,Central Maryland,MD ,124000.0,2010-07-25 15:20:00,2010-07-27 18:00:00
849,Pacificorp,Northern Utah,UT ,,2010-07-23 10:00:00,2010-07-24 23:55:00
850,Detroit Edison,Southeastern Michigan,MI MI ,82000.0,2010-07-23 19:30:00,2010-07-26 18:30:00
851,ISO New England,Connecticut,CT ,50100.0,2010-07-21 18:44:00,2010-07-21 20:00:00
852,Xcel Energy,Minnesota,MN ,63000.0,2010-07-17 20:30:00,2010-07-19 22:00:00
853,Detroit Edison,Southeastern Michigan,MI MI ,127534.0,2010-07-15 19:00:00,2010-07-19 23:30:00
854,"PJM Interconnection, LLC","York, South Central Pennsylvania",PA ,43903.0,2010-07-07 16:13:00,2010-07-07 22:29:00
855,Delmarva Power & Light Company,"Newark, DE",DE ,18400.0,2010-07-06 03:47:00,2010-07-06 04:37:00
856,Pacific Gas and Electric,Northern California,CA ,,2010-06-25 23:36:00,2010-06-26 01:38:00
857,PECO,Southeastern Pennsylvania,PA ,355000.0,2010-06-24 15:30:00,2010-06-29 23:59:00
858,Atlantic City Electric,Southwestern New Jersey,NJ ,150000.0,2010-06-24 15:00:00,2010-06-29 12:00:00
859,Commonwealth Edison,"Chicago, IL",IL ,300000.0,2010-06-23 17:00:00,2010-06-25 13:40:00
860,Northern Indiana Public Service Company,Northwest Indiana,IN ,53000.0,2010-06-23 17:48:00,2010-06-24 02:21:00
861,Entergy,West/Central Arkansas,AR ,25159.0,2010-06-22 15:34:00,2010-06-22 19:00:00
862,Duke Energy Midwest,"Cincinnati, OH",OH ,50636.0,2010-06-21 13:48:00,2010-06-22 20:31:00
863,Detroit Edison,"Detroit, MI",MI MI ,150000.0,2010-06-18 20:00:00,2010-06-22 19:30:00
864,Commonwealth Edison,"Chicago, IL",IL ,400000.0,2010-06-18 16:00:00,2010-06-20 13:00:00
865,American Electric Power,"Indiana, Michigan",IN MI ,79000.0,2010-06-18 20:00:00,2010-06-21 10:45:00
866,Consumers Energy,Southern Portion of Lower Michigan,MI ,100000.0,2010-06-18 19:00:00,2010-06-19 05:00:00
867,Northern Indiana Public Service Company,Northwest Indiana,IN ,94345.0,2010-06-18 15:30:00,2010-06-20 00:30:00
868,Louisiana Energy and Power Authority,"Morgan City, LA",LA ,,2010-06-17 08:30:00,2010-06-17 17:47:00
869,Entergy,Southern Louisiana,LA ,,2010-06-17 09:30:00,2010-06-17 17:17:00
870,Cleco Power LLC,Southern Louisiana,LA ,,2010-06-17 09:30:00,2010-06-17 16:40:00
871,Southwest Louisiana Electric Membership Corporation,Southwestern Louisiana,LA ,,2010-06-17 09:30:00,2010-06-17 16:40:00
872,Western Area Power Administration,Eastern Montana,MT ,,2010-06-17 10:49:00,2010-06-17 11:02:00
873,Orange and Rockland Utilities,New York (Rockland and Orange Counties),NY ,,2010-06-16 11:11:00,2010-06-16 11:32:00
874,North Carolina Eastern Municipal Power Agency,"Edenton, NC",NC ,4196.0,2010-06-09 14:18:00,2010-06-09 15:00:00
875,Centerpoint Energy,Southeastern Texas,TX ,79741.0,2010-06-08 11:00:00,2010-06-08 17:00:00
876,Public Service Company of Colorado,Denver Metropolitan Area,CO ,31000.0,2010-06-07 18:29:00,2010-06-08 01:00:00
877,Pacific Gas and Electric,Northern California,CA ,2650.0,2010-06-06 04:45:00,2010-06-06 05:35:00
878,CPS Energy,"San Antonio, TX",TX ,126000.0,2010-06-02 20:18:00,2010-06-04 08:00:00
879,Southern Indiana Gas and Electric Company,Southwestern Indiana,IN ,1.0,2010-06-01 22:03:00,2010-06-18 00:30:00
880,Allegheny Power,"Maryland, Pennsylvania, West Virginia, Virginia",MD PA VA WV ,,2010-05-26 11:45:00,2010-05-26 15:00:00
881,California Department of Water Resources,Central California,CA CA ,,2010-05-18 08:15:00,2010-05-18 22:46:00
882,Tennesse Valley Authority,Tennessee and Mississippi,MS TN ,50500.0,2010-05-02 14:40:00,2010-05-09 19:30:00
883,North Carolina Eastern Municipal Power Agency,"Rocky Mount, NC",NC ,29376.0,2010-04-27 14:55:00,2010-04-27 14:55:00
884,Dow Chemical Co,"Iberville, Parish, Louisiana",LA ,,2010-04-21 15:05:00,2010-04-21 20:00:00
885,Allegheny Power,Southwestern Pennsylvania,PA ,120000.0,2010-04-16 17:15:00,2010-04-18 17:00:00
886,San Diego Gas & Electric Company,San Diego and Orange Counties,CA ,290000.0,2010-03-31 23:59:00,2010-04-01 00:55:00
887,California Independent System Operator,San Diego,CA CA ,,2010-03-31 23:59:00,2010-04-01 00:38:00
888,ISO New England,Connecticut,CT ,50246.0,2010-03-13 12:00:00,2010-03-15 20:05:00
889,Exelon Corporation/PECO,Southeasten Pennsylvania,PA ,177528.0,2010-03-13 01:00:00,2010-03-16 18:40:00
890,Long Island Power Authority,Long Island,NY ,153000.0,2010-03-13 15:00:00,2010-03-17 16:00:00
891,Public Service Electric & Gas Company,"Southern, Central and Northern New Jersey",NJ ,360000.0,2010-03-13 18:00:00,2010-03-20 12:59:00
892,Consolidated Edison of NY,New York City and Westchester County,NY ,173000.0,2010-03-13 18:00:00,2010-03-20 09:00:00
893,Jersey Central Power and Light Company,Central New Jersey and Northern New Jersey,NJ ,180000.0,2010-03-13 16:00:00,2010-03-16 00:00:00
894,Orange and Rockland Utilities Inc,"Southeastern New York, Northern New Jersey",NJ NY ,65000.0,2010-02-25 00:01:00,2010-02-26 21:00:00
895,Consolidated Edison of NY,New York City,NY ,55000.0,2010-02-25 17:00:00,2010-03-02 19:00:00
896,ISO New England,Southern Maine and New Hampshire,ME NH ,509606.0,2010-02-25 23:53:00,2010-03-01 16:40:00
897,Central Hudson Gas & Electric Corp,Upstate New York,NY ,150000.0,2010-02-23 22:00:00,2010-02-25 16:00:00
898,California Department of Water Resources,"San Joaquin Field Division/Bakersfield, CA",CA CA CA ,,2010-02-19 20:30:00,2010-02-20 04:01:00
899,Allegheny Power,Western Pennsylvania nd Northeast Central WV,PA WV ,190000.0,2010-02-14 10:00:00,2010-02-14 12:00:00
900,American Electric Power,"East Texas, Western Arkansas, Northern Lousiania",AR TX ,52999.0,2010-02-12 05:00:00,2010-02-12 17:00:00
901,Oncor Electric Delivery Company,Dallas/Fort Worth and East Texas,TX ,500000.0,2010-02-11 12:00:00,2010-02-15 21:00:00
902,Exelon Corporation,Southeastern Pennsylvania,PA ,223000.0,2010-02-09 18:00:00,2010-02-14 16:00:00
903,Delmarva Power & Light Company,Delmarva Peninsula,,58491.0,2010-02-06 08:00:00,2010-02-06 09:00:00
904,Dominion,"Virginia, North Carolina",NC VA ,104736.0,2010-02-06 02:30:00,2010-02-07 07:00:00
905,Duke Energy Carolinas,North and South Carolina,SC ,74000.0,2010-02-05 18:48:00,2010-02-07 17:00:00
906,Atlantic City Electric,Southern NJ,NJ ,221000.0,2010-02-05 15:00:00,2010-02-13 16:00:00
907,Potomac Electric Power Co,"District of Columbia, Prince Georges and Montgomery Co. MD",MD ,97651.0,2010-02-05 19:00:00,2010-02-12 15:46:00
908,Duquesne Light Company,Southwestern Pennsylvania,PA ,57000.0,2010-02-05 22:30:00,2010-02-12 12:00:00
909,American Electric Power,"Indiana, Ohio, W. Virginia and Virginia",IN OH VA ,102225.0,2010-02-05 23:30:00,2010-02-07 02:38:00
910,Western Farmers Electric Cooperative,Oklahoma,OK ,0.0,2010-02-01 14:32:00,2010-02-01 17:00:00
911,American Electric Power,Oklahoma,OK ,68705.0,2010-01-28 12:00:00,2010-02-02 12:00:00
912,Los Angeles Department of Water and Power,"City of Los Angeles, California",CA CA ,147223.0,2010-01-20 13:00:00,2010-01-24 18:10:00
913,San Diego Gas & Electric Company,San Diego and Orange Counties,CA ,50000.0,2010-01-19 14:30:00,2010-01-20 15:00:00
914,California ISO,San Francisco,CA CA ,30000.0,2010-01-19 07:30:00,2010-01-19 12:24:00
915,Pacific Gas and Electric Company,Northern and Central California,CA ,1700000.0,2010-01-18 11:30:00,2010-01-28 08:00:00
916,Progress Energy Florida,Northern and Central Florida,FL FL ,,2010-01-11 03:45:00,2010-01-11 09:57:00
917,Southwest Louisiana Electric Membership Corporation,Southwest Louisiana,LA ,,2010-01-06 18:00:00,2010-01-08 18:00:00
918,American Electric Power,"West Virginia, Kentucky, Ohio",WV KY OH ,403913.0,2009-12-18 20:00:00,2009-12-25 21:30:00
919,Progress Energy Carolinas Inc,Western North Carolina,NC ,47000.0,2009-12-18 22:55:00,2009-12-19 23:15:00
920,Detroit Edison,Michigan,MI MI ,65562.0,2009-12-10 17:45:00,2009-12-12 08:00:00
921,American Electric Power,Ohio,OH ,48102.0,2009-12-09 13:37:00,2009-12-10 06:30:00
922,California Independent System Operator,California,CA CA ,,2009-12-08 06:34:00,2009-12-08 12:00:00
923,Arizona Public Service,Arizona,AZ ,140000.0,2009-12-08 01:00:00,2009-12-10 11:00:00
924,California Department of Water Resources,California,CA CA ,,2009-12-07 22:00:00,2009-12-08 04:00:00
925,California Dept of Water Resources,"Central Valley, CA",CA CA ,,2009-11-18 06:15:00,2009-11-18 10:00:00
926,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",NC VA ,335000.0,2009-11-12 18:45:00,2009-11-14 04:25:00
927,Sacramento Municipal Utility District,Sacramento County,CA ,94000.0,2009-10-13 15:45:00,2009-10-13 17:50:00
928,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WY ,35500.0,2009-10-13 12:48:00,2009-10-13 14:34:00
929,Pacific Gas and Electric,Northern California,CA ,859554.0,2009-10-13 16:00:00,2009-10-13 22:30:00
930,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",CA CA CA ,,2009-10-09 18:30:00,2009-10-09 19:10:00
931,Entergy Corporation,Arkansas and North Louisiana,AR LA ,56000.0,2009-10-09 22:45:00,2009-10-11 16:00:00
932,Detroit Edison,Southeast Michigan,MI MI ,75000.0,2009-10-07 05:45:00,2009-10-09 23:00:00
933,Los Angeles Department of Water and Power,"City of Los Angeles, California",CA CA ,,2009-08-31 10:31:00,2009-08-31 00:00:00
934,Western Area Power Administration Upper Great Plains Region,Western South Dakota,SD ,18.0,2009-08-29 11:00:00,2009-08-29 14:01:00
935,Midwest ISO,Western South Dakota,SD ,0.0,2009-08-29 22:54:00,2009-08-29 23:53:00
936,CenterPoint Energy,Houston Metropolitan Service Area,TX ,80000.0,2009-08-21 19:00:00,2009-08-22 08:00:00
937,CenterPoint Energy,South Houston Service Area,TX ,73000.0,2009-08-12 18:25:00,2009-08-12 10:00:00
938,Consumers Energy,"Michigan, Lower Peninsula",MI ,58156.0,2009-08-09 19:31:00,2009-08-10 09:59:00
939,Detroit Edison,Western Region of Service Territory,MI ,137000.0,2009-08-07 23:00:00,2009-08-11 22:00:00
940,ERCOT ISO,ERCOT Region,CO ,,2009-08-05 15:00:00,2009-08-05 19:00:00
941,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",IN KY OH ,63700.0,2009-08-04 13:45:00,2009-08-08 21:00:00
942,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",DE ,70264.0,2009-08-02 02:17:00,2009-08-03 13:09:00
943,PacificCorp,Salt Lake City Utah and Northern Utah,UT ,,2009-07-28 20:18:00,2009-07-28 20:33:00
944,Tennessee Valley Authority,"Chattanooga, Tennessee",TN ,,2009-07-27 05:05:00,2009-07-27 05:47:00
945,Crockett Cogeneration,"San Francisco Bay Area, California",CA CA ,1.0,2009-07-21 05:34:00,2009-07-21 08:43:00
946,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",,86058.0,2009-07-20 21:50:00,2009-07-22 19:00:00
947,CenterPoint Energy,Houston/Galveston Area,TX ,73000.0,2009-07-18 19:00:00,2009-07-19 21:00:00
948,AEP West,AEP SWEPCO/Louisiana Area,CO LA ,,2009-07-16 13:00:00,2009-07-16 18:00:00
949,AEP West,AEP SWEPCO/Louisiana Area,CO LA ,,2009-07-15 13:00:00,2009-07-15 18:00:00
950,AEP West,AEP SWEPCO/Louisiana Area,CO LA ,,2009-07-14 13:00:00,2009-07-14 18:00:00
951,ERCOT ISO,ERCOT Region,CO ,,2009-07-08 13:30:00,2009-07-08 19:00:00
952,ERCOT ISO,"San Antonio, Texas",TX ,,2009-07-07 15:30:00,2009-07-07 19:00:00
953,ISO New England,Northern Maine,ME ,0.0,2009-07-02 22:44:00,2009-07-03 01:25:00
954,Connecticut Light and Power,Central Connecticut,CT ,50752.0,2009-06-26 17:00:00,2009-06-29 09:00:00
955,Duke Energy Midwest,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",IN OH ,85000.0,2009-06-26 01:00:00,2009-06-27 09:00:00
956,Detroit Edison,Western Region of Service Territory,MI ,118000.0,2009-06-25 15:30:00,2009-06-28 20:00:00
957,ERCOT ISO,ERCOT Region,CO ,,2009-06-25 15:16:00,2009-06-25 19:00:00
958,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Southwest Louisiana,LA ,,2009-06-24 13:30:00,2009-06-24 22:00:00
959,Exelon Corporation ComEd,The Entire ComEd Service Territory,,245000.0,2009-06-19 13:00:00,2009-06-19 23:59:00
960,Consumers Energy,Michigan Lower Peninsula,MI ,99000.0,2009-06-19 00:01:00,2009-06-21 23:00:00
961,California Department of Water Resources,A.D. Edmonston Pumping Plant,CA ,0.0,2009-06-16 23:00:00,2009-06-17 02:00:00
962,Tennessee Valley Authority,"Chattanooga, Tennessee",TN ,136000.0,2009-06-12 16:37:00,2009-06-12 18:53:00
963,Southern Company,Georgia,GA ,102000.0,2009-06-12 22:00:00,2009-06-13 18:00:00
964,Entergy Corporation,"Arkansas, North Mississippi",AR MS ,81645.0,2009-06-12 17:45:00,2009-06-15 23:59:00
965,"Oncor Electric Delivery Company, LLC",North and Central Texas,TX ,800000.0,2009-06-10 18:00:00,2009-06-14 10:00:00
966,Baltimore Gas and Electric,Central Maryland,MD ,85091.0,2009-06-09 17:25:00,2009-06-11 05:00:00
967,Pacific Gas and Electric,East of Fresno California,CA ,70.0,2009-06-05 13:38:00,2009-06-05 20:18:00
968,Big Rivers Electric Corporation,"Henderson County, Kentucky",KY ,1.0,2009-05-29 09:05:00,2009-05-29 19:57:00
969,The Empire District Electric Company,SW Missouri,MO ,83000.0,2009-05-08 07:30:00,2009-05-08 09:00:00
970,Ameren,Southern Illinois,IL ,68800.0,2009-05-08 13:30:00,2009-05-14 23:20:00
971,CenterPoint Energy,Greater Houston/Galveston Area,TX ,158000.0,2009-04-27 15:30:00,2009-04-28 11:30:00
972,Detroit Edison,Western Region of Service Territory,MI ,125000.0,2009-04-25 14:30:00,2009-04-29 01:00:00
973,Constellation Energy,"Ruston, Louisiana",LA ,11000.0,2009-04-24 11:09:00,2009-04-24 11:21:00
975,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",CA CA ,280000.0,2009-04-23 17:54:00,2009-04-23 19:58:00
976,Puget Sound Energy,"Skagit County, Washington",WA WA ,93300.0,2009-04-23 16:25:00,2009-04-24 00:29:00
977,Southern Company,Alabama and Georgia,AL GA ,56679.0,2009-04-10 22:00:00,2009-04-11 02:30:00
978,Consumers Energy,"Michigan, Lower Peninsula",MI ,70793.0,2009-04-06 01:00:00,2009-04-08 12:00:00
979,Crockett Cogeneration,"San Francisco Bay Area, California",CA CA ,,2009-03-08 22:16:00,2009-03-08 23:45:00
980,American Electric Power,"Roanoke, Virginia",VA ,0.0,2009-03-03 22:00:00,2009-03-04 20:17:00
981,"New Covert Generating Company, LLC",Southwest Michigan,MI ,,2009-03-03 06:48:00,2009-04-26 06:05:00
982,Dominion Virginia/North Carolina Power,Central Virginia - Spotsylvania County,VA ,217000.0,2009-03-01 22:00:00,2009-03-03 18:00:00
983,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,,180000.0,2009-03-01 20:54:00,2009-03-03 16:06:00
984,El Paso Electric Company,"City of El Paso, Texas, County of El Paso",TX ,132000.0,2009-03-01 00:15:00,2009-03-01 03:00:00
985,Southern Company,Southern Balancing Area,,60000.0,2009-03-01 16:00:00,2009-03-01 23:25:00
986,Central Maine Power Company,Southern Central and Western Maine,ME ,131000.0,2009-02-23 02:38:00,2009-02-24 13:46:00
