Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Vandalism,2011,7/1/2011,4:38 PM,7/1/2011,10:38 PM,Dayton Power & Light,Greene County Ohio,RFC,,0.0,vandalism
Severe Weather,2011,7/1/2011,5:00 PM,7/3/2011,8:00 PM,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MRO,UNK,70000.0,severe weather
Vandalism,2011,7/1/2011,8:00 AM,7/1/2011,8:01 AM,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0.0,vandalism
Major System Interruption/Load Shed,2011,6/30/2011,2:11 PM,6/30/2011,11:25 PM,Salt River Project,"Phoenix, Arizona",WECC,"5,299",160000.0,load shedding
Vandalism,2011,6/30/2011,10:31 PM,6/30/2011,10:31 PM,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0.0,vandalism
Severe Weather,2011,6/30/2011,10:30 PM,7/1/2011,5:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,121000.0,severe weather
Public Appeal to Reduce Electricity Usage,2011,6/29/2011,11:30 AM,6/29/2011,6:04 PM,Southwestern Public Service,"Panhandle and Muleshoe, Texas",SPP,0,0.0,public appeal
Public Appeal to Reduce Electricity Usage,2011,6/27/2011,3:00 PM,6/27/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0.0,public appeal
Vandalism,2011,6/27/2011,6:55 PM,6/27/2011,6:55 PM,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WECC,UNK,,vandalism
Severe Thunderstorms,2011,6/27/2011,12:00 AM,6/29/2011,1:00 AM,AMEREN,Illinois; Missouri,SERC,UNK,80000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6/26/2011,6:00 PM,6/27/2011,1:00 PM,Southern Company,Alabama; Georgia,SERC,300,90160.0,"severe weather, thunderstorm"
Public Appeal to Reduce Electricity Usage,2011,6/26/2011,4:46 PM,6/27/2011,7:59 AM,Sunflower Electric Power Corporation,Southwest Kansas,SPP,UNK,,public appeal
Severe Thunderstorms,2011,6/24/2011,6:30 PM,6/25/2011,1:30 AM,Southern Company,North/North Central Alabama; Georgia,SERC,340,102275.0,"severe weather, thunderstorm"
Vandalism,2011,6/23/2011,8:10 AM,6/23/2011,9:00 AM,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0.0,vandalism
Vandalism,2011,6/22/2011,8:12 PM,6/22/2011,8:12 PM,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0.0,vandalism
Severe Weather,2011,6/22/2011,9:46 AM,6/22/2011,9:46 AM,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",SERC,UNK,106300.0,severe weather
Severe Thunderstorms,2011,6/22/2011,7:00 PM,6/23/2011,1:00 AM,Southern Company,Alabama; Georgia,SERC,316,75101.0,"severe weather, thunderstorm"
Severe Weather,2011,6/21/2011,6:30 PM,6/22/2011,7:00 AM,American Electric Power (AEP),AEP Region,RFC,UNK,56000.0,severe weather
Severe Thunderstorms,2011,6/21/2011,9:45 PM,6/23/2011,2:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,300000.0,"severe weather, thunderstorm"
Vandalism,2011,6/20/2011,10:36 AM,6/20/2011,10:36 AM,Tacoma Power (TPWR),"Collins Substation, Washington",WECC,0,0.0,vandalism
Public Appeal to Reduce Electricity Usage,2011,6/18/2011,4:45 PM,6/20/2011,11:59 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,,public appeal
Severe Thunderstorms,2011,6/18/2011,5:00 PM,6/18/2011,9:33 PM,Duke Energy Carolinas,North Carolina; South Carolina,SERC,300,70000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6/18/2011,3:30 PM,6/19/2011,3:42 PM,Southern Company,"Northern, Georgia",SERC,312,93828.0,"severe weather, thunderstorm"
Vandalism,2011,6/15/2011,4:00 PM,6/16/2011,6:30 AM,PacifiCorp,"Bingham County, Idaho",WECC,,,vandalism
Severe Thunderstorms,2011,6/15/2011,7:15 PM,6/16/2011,6:00 AM,Southern Company,Georgia,SERC,563,169000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6/15/2011,7:17 PM,6/16/2011,1:45 AM,Duke Energy,"Piedmont, North Carolina",SERC,300,70135.0,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6/12/2011,7:00 PM,6/12/2011,8:30 PM,Dominion Virginia Power,Virginia,RFC,250,56000.0,"severe weather, thunderstorm"
Suspected Physical Attack,2011,6/9/2011,2:15 PM,6/9/2011,2:15 PM,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",WECC,0,0.0,"vandalism, physical"
Severe Thunderstorms,2011,6/9/2011,5:51 PM,6/10/2011,12:00 PM,ISO New England/Northeast Utilities,"Western, Massachusetts; Connecticut",NPCC,0,100000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6/9/2011,4:30 AM,6/9/2011,12:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,169000.0,"severe weather, thunderstorm"
Vandalism,2011,6/8/2011,12:58 PM,6/8/2011,12:58 PM,Tacoma Power (TPWR),"Fredrickson Substation, Washington",WECC,,,vandalism
Severe Weather,2011,6/7/2011,2:00 PM,6/8/2011,6:00 AM,American Electric Power,Ohio,RFC,UNK,52747.0,severe weather
Public Appeal to Reduce Electricity Usage,2011,6/6/2011,3:00 PM,6/8/2011,3:00 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,13000.0,public appeal
Load Shed/ Automatic undervoltage relay action,2011,6/6/2011,12:13 AM,6/6/2011,3:15 AM,El Paso Electric Company,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,450,162000.0,load shedding
Electrical System Separation (Islanding),2011,6/5/2011,8:02 PM,6/5/2011,8:55 PM,Pacific Gas and Electric,"Melones, California",WECC,10,5314.0,islanding
Severe Thunderstorms,2011,6/5/2011,5:30 AM,6/6/2011,1:30 AM,CenterPoint Energy,"Houston Metro-Area, Texas",TRE,473,78000.0,"severe weather, thunderstorm"
Vandalism,2011,6/4/2011,1:17 AM,6/4/2011,3:25 AM,Pacific Gas and Electric,"Midway, California",WECC,UNK,420.0,vandalism
Severe Weather,2011,6/2/2011,11:45 PM,6/4/2011,4:00 PM,South Carolina Electric and Gas,"Greater Columbia, South Carolina",SERC,0,50465.0,severe weather
Severe Weather,2011,5/29/2011,6:30 PM,5/31/2011,10:00 PM,Consumers Energy,"Mid and Southern Lower Peninsula, Michigan",RFC,250,113000.0,severe weather
Severe Weather,2011,5/26/2011,7:56 PM,5/27/2011,6:00 PM,PPL Electric Utilities,Central Pennsylvania,RFC,150,120001.0,severe weather
Transmission Level Interruption,2011,5/26/2011,1:00 AM,5/26/2011,6:00 AM,Greenwood Utilities Commission,"Greenwood, Mississippi",SERC,30,10000.0,transmission interruption
Severe Weather,2011,5/26/2011,6:30 PM,5/28/2011,4:44 AM,Southern Company,"Southern Balancing Area, Georgia",SERC,729,218783.0,severe weather
Severe Weather,2011,5/25/2011,10:14 PM,5/28/2011,11:00 AM,Duke Energy Midwest,Central Indiana,RFC,200,141000.0,severe weather
Severe Weather,2011,5/24/2011,4:45 PM,5/26/2011,5:00 PM,Oklahoma Gas & Electric,Central Oklahoma,SPP,UNK,54000.0,severe weather
Severe Weather,2011,5/24/2011,4:35 PM,5/25/2011,12:40 PM,Dominion Virginia Power,Eastern Virginia,SERC,790,175000.0,severe weather
Physical Attack,2011,5/24/2011,9:00 AM,5/25/2011,9:10 AM,Edison Mission Generation (Fisk Station),"Chicago, Illinois",RFC,0,0.0,"vandalism, physical"
Severe Weather,2011,5/23/2011,4:45 PM,5/25/2011,11:59 PM,Duke Energy Midwest,"Central, Indiana",RFC,"1,024",215387.0,severe weather
Severe Weather,2011,5/23/2011,12:30 PM,5/25/2011,12:30 PM,Ameren,"St. Louis County, Missouri",SERC,UNK,70000.0,severe weather
Severe Weather,2011,5/22/2011,5:09 PM,5/31/2011,12:01 PM,Empire District Electric,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,200,20000.0,severe weather
Physical Attack,2011,5/21/2011,5:00 PM,5/22/2011,6:34 PM,"Terra-Gen Dixie Valley, LLC","Dixie Valley Area, Nevada",WECC,56,,"vandalism, physical"
Vandalism,2011,5/13/2011,6:00 AM,5/13/2011,6:00 AM,PacifiCorp,"Salt Lake, Utah",WECC,0,0.0,vandalism
Severe Weather,2011,5/11/2011,12:15 AM,5/11/2011,5:20 PM,Duke Energy Carolinas,"Charlotte, North Carolina",SERC,300,71000.0,severe weather
Vandalism,2011,5/11/2011,3:55 PM,5/12/2011,1:57 PM,Minnesota Power,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,0,0.0,vandalism
Vandalism,2011,5/11/2011,1:35 PM,5/11/2011,1:35 PM,PacifiCorp,"Green River, Wyoming",WECC,0,0.0,vandalism
Vandalism,2011,5/11/2011,11:00 AM,5/11/2011,11:30 AM,Central Hudson Gas & Electric Corp.,"North Chelsea Substation, New York",NPCC,0,0.0,vandalism
Vandalism,2011,5/10/2011,1:45 PM,5/10/2011,3:00 PM,ISO New England,New Hampshire,NPCC,0,0.0,vandalism
Severe Weather,2011,5/10/2011,10:21 PM,5/11/2011,2:25 PM,American Electric Power,"Kentucky, West Virginia",RFC,UNK,58000.0,severe weather
Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),2011,5/10/2011,3:25 AM,5/11/2011,2:10 PM,Midwest Independent System Operator (MISO),"Upper Peninsula, Michigan",RFC,585,78213.0,"load shedding, islanding"
Vandalism,2011,5/9/2011,1:11 PM,5/9/2011,1:11 PM,Public Service of New Hampshire,"Milton, New Hampshire",NPCC,0,0.0,vandalism
Suspected Physical Attack,2011,5/9/2011,4:08 AM,5/9/2011,6:40 AM,"Exelon Generation Company, LLC","Holtwood, Pennsylvania",RFC,630,,"vandalism, physical"
Vandalism,2011,5/8/2011,7:35 PM,5/8/2011,7:35 PM,"Castleton Power, LLC",New York,NPCC,UNK,0.0,vandalism
Vandalism,2011,5/6/2011,6:56 AM,5/6/2011,10:30 AM,PacifiCorp,"Alderwood Substation, Portland, Oregon",WECC,0,0.0,vandalism
Vandalism,2011,5/5/2011,9:15 AM,5/5/2011,9:15 AM,ISO New England,New Hampshire,NPCC,0,0.0,vandalism
Suspected Sabotage,2011,5/4/2011,12:20 PM,5/4/2011,3:40 PM,"ITC Holdings, Inc.",Michigan,RFC,0,0.0,vandalism
Suspected Physical Attack,2011,5/4/2011,1:08 PM,5/4/2011,1:25 PM,FirstEnergy Generation,Maryland,RFC,0,0.0,"vandalism, physical"
Suspected Physical Attack,2011,5/3/2011,12:00 PM,5/5/2011,12:00 PM,New York Power Authority,"St. Lawrence Power Dam, New York",NPCC,0,0.0,"vandalism, physical"
Severe Weather,2011,5/2/2011,5:06 PM,5/2/2011,8:00 PM,Hawaiian Electric Company,Hawaii,PR,220,62000.0,severe weather
Suspected Physical Attack,2011,5/2/2011,2:00 PM,5/2/2011,2:00 PM,The United Illuminating Company,"West River Substation, New Haven, Connecticut",NPCC,0,0.0,"vandalism, physical"
Vandalism,2011,5/2/2011,8:52 AM,5/2/2011,10:46 AM,PacifiCorp,"N. Ogden Substation, Ogden, Utah",WECC,0,0.0,vandalism
Severe Weather,2011,4/28/2011,5:00 AM,4/30/2011,6:30 PM,FirstEnergy Service Company,"Cleveland area, Ohio",RFC,UNK,86000.0,severe weather
Equipment Malfunction,2011,4/28/2011,4:09 PM,4/28/2011,4:10 PM,"Mesquite Power, LLC","Phoenix, Arizona",WECC,960,,equipment failure
Severe Weather,2011,4/27/2011,10:00 AM,4/29/2011,4:29 PM,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",SERC,UNK,612000.0,severe weather
Severe Weather,2011,4/27/2011,8:00 AM,5/2/2011,4:03 PM,Southern Company,"Alabama, Florida, Georgia, Mississippi",SERC,"1,422",426640.0,severe weather
Severe Weather,2011,4/27/2011,10:00 PM,4/28/2011,10:00 AM,American Electric Power,"Ohio, Tennessee, Virginia",SERC,0,69000.0,severe weather
Severe Weather,2011,4/26/2011,6:14 PM,4/28/2011,5:00 PM,West Memphis Utilities,Eastern Arkansas,SPP,50,13000.0,severe weather
Vandalism,2011,4/26/2011,1:04 PM,4/26/2011,2:00 PM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0.0,vandalism
Severe Weather,2011,4/26/2011,5:49 AM,4/27/2011,9:59 AM,Entergy Corporation,Southern Louisiana,SPP,120,,severe weather
Severe Weather,2011,4/26/2011,9:51 AM,4/28/2011,9:51 AM,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",SERC,UNK,55000.0,severe weather
Severe Weather,2011,4/25/2011,5:30 PM,4/27/2011,6:00 PM,Entergy Corporation,"Arkansas, Louisiana, Mississippi",SPP,UNK,141700.0,severe weather
Equipment Malfunction,2011,4/25/2011,4:33 PM,4/25/2011,5:19 PM,Tennessee Valley Authority,Northeast Tennessee,SERC,140,,equipment failure
Severe Weather,2011,4/22/2011,9:00 PM,4/22/2011,11:00 PM,Ameren,"Metro St. Louis area, Missouri",SERC,0,55000.0,severe weather
Suspicious Activity,2011,4/21/2011,7:00 PM,4/29/2011,7:05 PM,ITC Holdings,"Trenton, Michigan",RFC,UNK,,vandalism
Vandalism,2011,4/21/2011,7:15 AM,4/21/2011,4:50 PM,PacifiCorp,"Oquirrh Substation, Salt Lake City, Utah",WECC,0,0.0,vandalism
