Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
KG7MAJ,1.907349438176461e+16,"Is there a storm coming???? #DoNotCare #NotFreakingOut #Bosnow (@ Museum of Fine Arts, Boston) http://4sq.com/gYB2mf",11:54 AM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
kel_o_watt,1.800068276211712e+16,I <3 whiteout tape! (@ FedEx Office Print & Ship Center) http://4sq.com/gzRlce,12:51 PM - 23 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
LynnMontagano,1.718033869858816e+16,"I'm already sick of the snow ""storm"" coverage all over. It's New England people. It snows here. Stop acting like you've never seen it.",6:31 AM - 21 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
timj0,1.2843690003267584e+16,First power outage in years but it's major. Already over 4 hours. Our battery backup safety lights don't last that long.,7:19 AM - 9 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
bmenoza,4498312006729729.0,"Four Loko to be banned statewide in Massachusetts starting next Monday. Stock up on ""Blackout in a Can"" now!",6:37 AM - 16 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
timdahl,2169094459629568.0,The coming storm.  @ Boston College Thomas P. O'Neill Library http://instagr.am/p/NEoI/,8:22 PM - 9 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
02465,2056519432544256.0,"Storm brings wind gusts, snow to region http://bit.ly/bbFiLn via http://outside.in/02465",12:54 PM - 9 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
KDosu,787735291895809.0,New Year's resolution: smoke less...get blackout drunk more often,12:53 AM - 6 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
LinkedIn,1.08208761903752e+18,"Aaron wanted a job that would let him pursue his passion for helping others. With the help of a hiring manager who found his profile on LinkedIn, Aaron found that opportunity. Find your next job on LinkedIn: https://lnkd.in/g_8wpjd  #InItTogetherpic.twitter.com/hpEoZWjcR0",8:32 PM - 6 Jan 2019,"Like
    
      
    444
  
  
    
      
      
      Liked
    
      
    444","Retweet
    
      
    67
  
  
    
      
      Retweeted
    
      
    67",MA
hughespjh,29079755300.0,Halloween at @EFSmithsonian today. Last year I had a lunch meeting with a zebra and a storm trooper. #whereelse,6:51 AM - 29 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
JoeCunliffe,28409490625.0,Big Baby: philosopher RT@iambigbaby11: Life isn't about waiting for the storm to passits about learning to dance in the rain...  Ayo baby,9:27 AM - 22 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
nasamuffin,28404698455.0,Sad that I missed commenting on the storm of @mbrosatellite tweets last night. #dickcarts? Classic! #poppinbottles? #keepitflexed,8:33 AM - 22 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
Fabie_Luv,27795634425.0,WTF.... Power is out!!!! Damn Nstar....  http://myloc.me/ddotv,9:39 PM - 18 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
topix_ma,26932666051.0,"Week in Review: Weapons Found at Scorched Home, Town-wide Power Outage, Appraisals - http://bit.ly/biktx5 #Needham #Massachusetts",7:31 AM - 10 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
bmemike,26682890407.0,in-flight wi-fi but no power. seems a bit backwards. wonder if it's worth pulling out the laptop. hmmmm ...,3:34 PM - 7 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
topix_ma,26577961704.0,Power Outage Temporarily Hits Needham - http://bit.ly/bzXvTp #Needham #Massachusetts,2:20 PM - 6 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
ACountingSheep,26072620980.0,I see sunlight this morning.  Anyone think this storm might show up today?  #weathermanfail,6:59 AM - 1 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
rencesram,26016791236.0,The calm before the storm. http://yfrog.com/17og2lcj,4:35 PM - 30 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
nicopetro,25988142157.0,And I just learned all the rain is from tropical storm Nicole! Just in time for a Nicole+Nicole weekend... Get ready for Nicole cubed?,10:10 AM - 30 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
02465,25924478510.0,Power outage shuts down state education department building http://bit.ly/c6ZIeB via http://outside.in/02465,5:50 PM - 29 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
EmersonDems,25356654502.0,Dorm storm tonight PRow! Be there. #regrumble #mapoli #CDM2010  http://myloc.me/cmOic,7:22 PM - 23 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
thejimmyc,24420643656.0,As a Yanks-Jets fan tonight is a perfect storm. Jets v. Ravens on MNF and CC Sabathia (Yankees) v. David Price (Rays). I love sports.,5:31 PM - 13 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
