Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
Lil_RiRi,1.4670800900182835e+17,Coughing up a storm. Hope I don't make this whole room sick,4:48 PM - 13 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
s_meej,1.4577938702598963e+17,10% power left on iPhone. To lazy to get charger.. #Insomniaitsbeenreal,3:18 AM - 11 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
caroooolineW,1.4306511526311936e+17,@hayl_storm hahahah that's so cute,3:32 PM - 3 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
GetPowerplaJobs,1.4234439623758234e+17,"Heavy Equipment Operator- Hazwoper - #Binghamton , NY (http://tinyurl.com/c5s9mfl ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",3:48 PM - 1 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
topix_ny,1.3993220814733312e+17,Last active power plant prepares to shut down - http://bit.ly/uMyJpU  #Binghamton #NewYork,12:03 AM - 25 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
GetPowerplaJobs,1.3947215131194982e+17,"Heavy Equipment Operator- Hazwoper - #Binghamton , NY (http://tinyurl.com/c5ln6ef ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",5:35 PM - 23 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
GetPowerplaJobs,1.3911544227812147e+17,"Heavy Equipment Operator - #Binghamton , NY (http://tinyurl.com/8y7pky2 ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",5:58 PM - 22 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
hogankevin,1.3395955839678874e+17,My 1 & only PSU tweet. Of course admin & JoePa were wrong. Ya know who is benefiting from the media storm? Sandusky.,12:30 PM - 8 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
pcmofo,1.3214331700473037e+17,"Reset my iPhone and re-calibrated the battery. iPhone 4S still sucking power. 53% at 1pm. 3hr use, 6hr standby.",12:13 PM - 3 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
topix_ny,1.3051969563067597e+17,Nor'easter knocks out power for 2.3 million; Binghamton dodges most of storm - http://bit.ly/tvrQOu  #Binghamton #NewYork,12:41 AM - 30 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
topix_ny,1.3051965144787354e+17,Nor'easter knocks out power for 2.3 million; Binghamton dodges most of storm - http://bit.ly/sd39gH  #Binghamton #NewYork,12:41 AM - 30 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
topix_ny,1.2745637837262848e+17,Price Chopper to Offer Free Flu Vaccine Shots for Storm Victims in Five States - http://bit.ly/p6KV26  #ChenangoBridge #NewYork,1:49 PM - 21 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
lukefuller,1.2602609641102131e+17,"Keep losing power for 10 seconds at a time on upper front street, Binghamton, NY",3:05 PM - 17 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
ahoyyKT,1.256923063502848e+17,"“@HannnnaD: ""Ugh water's no fun"" @melissaliciousx love our Sunday power hourrrrrrr” out of control.",4:59 PM - 16 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
Vanguard_Group,1.0826531512310129e+18,Make the most of your earnings,10:00 AM - 8 Jan 2019,"Like
    
      
    11
  
  
    
      
      
      Liked
    
      
    11","Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",ME
danielleallennn,1.1878219663397274e+17,hello mr. crazy storm cloud..,3:20 PM - 27 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
traciNJ,1.1700625893399347e+17,A storm is coming!  @ Moe's Southwest Grill http://instagr.am/p/N2U_y/,5:44 PM - 22 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
traciNJ,1.170057484159058e+17,A storm is coming!  @ Moe's Southwest Grill http://instagr.am/p/N2UMT/,5:41 PM - 22 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
511nyBinghamton,1.1614208161703526e+17,"Downed power lines, reduced to one lane on US 11 south from Town of Triangle; Town of Barker Line to East Main St; NY...http://bit.ly/7dFGS5",8:30 AM - 20 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",ME
511nyBinghamton,1.1518703464101069e+17,"Ex ramp closed on NY 17 east at ex 68 - Pearl St; Ramp due to storm damage until 6:00PM, 09/23/11.",5:15 PM - 17 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",ME
JinWJung,1.1443805983934054e+17,@Cytokine_Storm brings football too and NBA camp #unlesslockoutcontinues,3:38 PM - 15 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
511nyBinghamton,1.1320904100152934e+17,"Closed to traffic, downed power lines on NY 206 in both directions from East Main St; NY 26; START Rte NY 206; Hickor...http://bit.ly/7dFGS5",6:15 AM - 12 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",ME
511nyBinghamton,1.1304668493370163e+17,"Reduced to one lane, storm damage on I-88 west from ex 3 - NY 7B to START Rte I-88; ex   - I-81 until 7:00PM, 09/15/11.",7:30 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",ME
511nyBinghamton,1.1293347975437926e+17,"Rht lane closed on I-81 south from ex 6 S-N- US 11; Ramp to Castle Creek Rd; Ramp due to storm damage until 12:00PM, 09/16/11.",12:00 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",ME
511nyBinghamton,1.1288062615525786e+17,"Reduced to one lane on I-81 north at ex 7 - US 11 due to storm damage until 7:00PM, 09/15/11.",8:30 AM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",ME
